Prod. year,Cylinders,Airbags,Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Engine volume,Mileage,Gear box type,Drive wheels,Doors,Wheel,Color
2008,4.0,4,1094,SSANGYONG,Kyron,Jeep,Yes,Diesel,2,76800 km,Automatic,Front,04-May,Left wheel,Silver
2015,4.0,0,765,FORD,Fusion,Sedan,Yes,Petrol,2,71454 km,Automatic,Front,04-May,Left wheel,Black
2009,4.0,4,617,CHEVROLET,Aveo,Sedan,Yes,Petrol,1.2,73816 km,Automatic,Front,04-May,Left wheel,Silver
2015,4.0,12,900,MITSUBISHI,Outlander,Jeep,Yes,Petrol,2.4,51141 km,Automatic,Front,04-May,Left wheel,Silver
2007,4.0,8,-,TOYOTA,Camry,Sedan,Yes,Hybrid,2.4,348800 km,Variator,Front,04-May,Left wheel,Grey
2011,6.0,12,1172,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,377379 km,Automatic,4x4,04-May,Left wheel,Silver
2011,4.0,4,707,HYUNDAI,Tucson,Jeep,Yes,Diesel,2,151186 km,Automatic,Front,04-May,Left wheel,Silver
2002,4.0,6,-,VOLKSWAGEN,Golf,Hatchback,Yes,Petrol,1.8 Turbo,200000 km,Manual,Front,02-Mar,Left wheel,Black
2012,6.0,0,-,HYUNDAI,Sonata,Sedan,No,Petrol,2.4,86000 km,Automatic,Front,>5,Left wheel,Grey
2017,4.0,12,1202,HYUNDAI,Santa FE sport,Jeep,No,Petrol,2.4,72000 km,Tiptronic,4x4,04-May,Left wheel,Black
2017,4.0,12,1156,FORD,Mustang,Sedan,Yes,Petrol,2.3,61653 km,Automatic,Rear,04-May,Left wheel,Black
2018,4.0,4,831,HONDA,Civic,Hatchback,Yes,Petrol,1.5,27244 km,Automatic,Front,04-May,Left wheel,Black
2019,4.0,4,879,HYUNDAI,Tucson,Jeep,Yes,Diesel,1.6,13000 km,Automatic,Front,04-May,Left wheel,White
2015,6.0,12,1171,JEEP,Cherokee,Jeep,Yes,Petrol,3.2,79200 km,Automatic,Front,04-May,Left wheel,Black
2011,6.0,12,1327,TOYOTA,4Runner,Jeep,No,Petrol,4,137600 km,Automatic,4x4,04-May,Left wheel,Grey
2015,4.0,6,934,MAZDA,CX-5,Jeep,Yes,Petrol,2.5,48000 km,Automatic,Front,04-May,Left wheel,Grey
2016,6.0,12,1493,LEXUS,ES 350,Sedan,Yes,Petrol,3.5,68630 km,Automatic,Front,04-May,Left wheel,White
2016,4.0,4,971,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.2,197826 km,Automatic,Front,04-May,Left wheel,Black
2010,4.0,8,761,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,136000 km,Variator,Front,04-May,Left wheel,Silver
2017,4.0,12,1249,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,127955 km,Automatic,Front,04-May,Left wheel,Blue
2019,4.0,4,1077,HYUNDAI,Tucson,Jeep,Yes,Diesel,2,1217 km,Automatic,Front,04-May,Left wheel,Blue
2008,6.0,12,1750,LEXUS,RX 300,Jeep,Yes,Hybrid,3.3,224629 km,Automatic,4x4,04-May,Left wheel,Silver
2008,6.0,12,1750,TOYOTA,Highlander,Sedan,Yes,Hybrid,3.3,287274 km,Automatic,4x4,04-May,Left wheel,White
2015,4.0,4,765,CHEVROLET,Captiva,Jeep,Yes,Diesel,2,30000 km,Automatic,Front,04-May,Left wheel,Silver
1998,6.0,4,-,NISSAN,Pathfinder,Jeep,No,LPG,3.3,200000 km,Automatic,4x4,04-May,Left wheel,Silver
2016,4.0,4,971,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.2,43877 km,Automatic,Front,04-May,Left wheel,Brown
2014,4.0,12,394,TOYOTA,Avalon,Sedan,Yes,Hybrid,2.5,189216 km,Automatic,Front,04-May,Left wheel,Black
2010,5.0,8,-,BMW,X5,Jeep,Yes,Diesel,3.0 Turbo,260000 km,Tiptronic,4x4,04-May,Left wheel,Black
2011,4.0,8,707,HONDA,Elysion,Minivan,Yes,Petrol,2,153000 km,Automatic,Front,04-May,Left wheel,Grey
2012,6.0,6,-,KIA,Optima,Sedan,No,Petrol,2,166400 km,Automatic,Front,04-May,Left wheel,White
2014,4.0,12,394,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,128739 km,Automatic,Front,04-May,Left wheel,Green
2017,4.0,12,-,TOYOTA,Corolla,Sedan,No,Petrol,1.6,18700 km,Automatic,Front,04-May,Left wheel,White
2013,4.0,8,585,VOLKSWAGEN,Passat,Sedan,Yes,Petrol,1.8 Turbo,80000 km,Tiptronic,Front,04-May,Left wheel,Grey
2015,4.0,4,764,CHEVROLET,Orlando,Jeep,Yes,Petrol,2,28633 km,Automatic,Front,04-May,Left wheel,Black
2013,4.0,0,640,FORD,Fusion,Sedan,Yes,Hybrid,2,339920 km,Automatic,Front,04-May,Left wheel,White
2012,6.0,0,919,BMW,X5,Jeep,Yes,Diesel,3,296395 km,Automatic,4x4,04-May,Left wheel,Grey
2018,4.0,12,-,TOYOTA,RAV 4,Jeep,No,Petrol,2.5,1358 km,Tiptronic,4x4,04-May,Left wheel,Grey
2010,6.0,12,1399,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,186005 km,Automatic,4x4,04-May,Left wheel,Silver
2014,4.0,8,473,CHEVROLET,Cruze,Sedan,No,Petrol,1.4,87000 km,Tiptronic,Front,04-May,Left wheel,Silver
2010,6.0,12,1286,AUDI,Q5,Jeep,Yes,Petrol,3.2,282643 km,Automatic,4x4,04-May,Left wheel,Blue
2013,4.0,12,585,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,141603 km,Automatic,Front,04-May,Left wheel,Blue
2015,4.0,0,765,MERCEDES-BENZ,GLA 250,Jeep,Yes,Petrol,2,159928 km,Automatic,Front,04-May,Left wheel,Black
2016,4.0,4,730,SSANGYONG,Actyon,Jeep,Yes,Petrol,1.6,36000 km,Automatic,Front,04-May,Left wheel,Blue
2010,4.0,12,761,TOYOTA,Corolla,Sedan,Yes,Petrol,1.8,116992 km,Automatic,Front,04-May,Left wheel,Silver
2016,4.0,4,891,CHEVROLET,Captiva,Jeep,Yes,Diesel,2,48774 km,Automatic,Front,04-May,Left wheel,Black
2015,4.0,4,697,HONDA,Civic,Sedan,Yes,Petrol,1.8,62137 km,Automatic,Front,04-May,Left wheel,Silver
2013,4.0,12,585,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,64800 km,Tiptronic,Front,04-May,Left wheel,Black
2013,4.0,8,-,TOYOTA,Prius,Sedan,Yes,Hybrid,1.8,100000 km,Variator,Front,04-May,Left wheel,White
2010,4.0,4,-,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,179200 km,Variator,Rear,04-May,Left wheel,Black
2017,4.0,12,924,HONDA,Hr-v,Jeep,Yes,Petrol,1.8,0 km,Automatic,4x4,04-May,Left wheel,Blue
2007,4.0,6,-,TOYOTA,Prius,Hatchback,No,Hybrid,1.5,144000 km,Variator,Front,04-May,Right-hand drive,Silver
2013,4.0,4,640,HYUNDAI,Tucson,Jeep,Yes,Diesel,2,74476 km,Automatic,Front,04-May,Left wheel,White
2016,4.0,12,431,FORD,Fusion,Sedan,Yes,Hybrid,2,120114 km,Automatic,Front,04-May,Left wheel,Black
2012,8.0,10,-,MERCEDES-BENZ,ML 550 4.7,Jeep,Yes,Petrol,4.7 Turbo,167000 km,Tiptronic,4x4,04-May,Left wheel,Black
2019,4.0,8,1325,TOYOTA,RAV 4,Jeep,No,Petrol,2.5,2565 km,Automatic,4x4,04-May,Left wheel,White
2010,4.0,6,-,TOYOTA,Prius,Sedan,No,Hybrid,1.8,243200 km,Automatic,Front,04-May,Left wheel,Silver
2013,4.0,4,640,HYUNDAI,Tucson,Jeep,Yes,Diesel,2,167157 km,Automatic,Front,04-May,Left wheel,Grey
2014,4.0,12,749,KIA,Optima,Sedan,Yes,Petrol,2.4,66379 km,Automatic,Front,04-May,Left wheel,Red
1999,4.0,4,-,FORD,Transit,Microbus,No,Diesel,2.5,123000 km,Manual,Rear,04-May,Left wheel,White
1999,4.0,0,-,VAZ,2121 (Niva),Jeep,No,CNG,1.7,111111 km,Manual,4x4,02-Mar,Left wheel,Purple
2008,4.0,8,-,TOYOTA,RAV 4,Jeep,Yes,Diesel,2.2 Turbo,210000 km,Manual,4x4,04-May,Left wheel,Silver
1996,4.0,1,-,MITSUBISHI,Delica,Minivan,No,Diesel,2.8 Turbo,160000 km,Automatic,4x4,02-Mar,Right-hand drive,Green
2007,4.0,4,-,TOYOTA,Prius,Hatchback,No,Hybrid,1.5,297600 km,Variator,Front,04-May,Left wheel,White
2015,4.0,12,-,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,40000 km,Variator,Front,04-May,Left wheel,Silver
2011,4.0,8,-,HONDA,FIT,Hatchback,No,Hybrid,1.3,188000 km,Automatic,Front,04-May,Right-hand drive,Blue
2012,4.0,4,741,KIA,Cadenza,Sedan,Yes,Petrol,2.4,40103 km,Automatic,Front,04-May,Left wheel,Black
2016,4.0,6,-,FORD,Fiesta,Hatchback,No,Petrol,1.6,50393 km,Automatic,Front,04-May,Left wheel,Silver
2004,4.0,4,-,TOYOTA,Vitz,Hatchback,No,Petrol,1.3,170342 km,Variator,Front,04-May,Right-hand drive,Silver
2015,4.0,4,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2,409910 km,Automatic,Front,04-May,Left wheel,Silver
2016,4.0,0,431,FORD,Fusion,Sedan,Yes,Hybrid,2,194974 km,Automatic,Front,04-May,Left wheel,Black
2011,4.0,4,707,HYUNDAI,Genesis,Coupe,Yes,Petrol,2,107005 km,Automatic,Front,04-May,Left wheel,Grey
2012,6.0,0,919,BMW,X5,Jeep,Yes,Diesel,3,274098 km,Automatic,4x4,04-May,Left wheel,White
2012,4.0,4,1058,FORD,F150,Sedan,Yes,Petrol,3.5,42187 km,Automatic,Front,04-May,Left wheel,Black
2008,6.0,12,1750,TOYOTA,Highlander,Jeep,Yes,Hybrid,3.3,269013 km,Automatic,4x4,04-May,Left wheel,Black
1988,4.0,2,-,MERCEDES-BENZ,G 300,Jeep,No,Diesel,2.9 Turbo,138000 km,Manual,4x4,02-Mar,Left wheel,Black
2014,4.0,12,-,HYUNDAI,Tucson,Jeep,Yes,Petrol,2.4,66413 km,Tiptronic,Front,04-May,Left wheel,White
2017,4.0,12,579,TOYOTA,RAV 4,Jeep,Yes,Hybrid,2.5,0 km,Automatic,4x4,04-May,Left wheel,Blue
2018,4.0,4,1079,HYUNDAI,Sonata,Sedan,Yes,Petrol,2,28750 km,Automatic,Front,04-May,Left wheel,Grey
2011,4.0,8,-,SUBARU,Legacy,Sedan,No,LPG,2.5,185000 km,Tiptronic,4x4,04-May,Left wheel,Blue
2015,4.0,12,900,HONDA,Accord,Coupe,Yes,Petrol,2.4,78475 km,Automatic,Front,02-Mar,Left wheel,Blue
2013,6.0,12,1055,NISSAN,Altima,Sedan,Yes,Petrol,3.5,130877 km,Automatic,Front,04-May,Left wheel,White
2012,4.0,4,1268,HONDA,Fred,Minivan,No,Petrol,1.5,90000 km,Automatic,Front,04-May,Right-hand drive,Silver
2009,4.0,12,746,RENAULT,Scenic,Minivan,No,Diesel,1.5 Turbo,191000 km,Manual,Front,04-May,Left wheel,Golden
2015,4.0,12,765,FORD,Focus,Sedan,No,Petrol,2,100000 km,Automatic,Front,04-May,Left wheel,Blue
2018,4.0,0,781,CHEVROLET,Cruze,Sedan,No,Petrol,1.4 Turbo,6000 km,Tiptronic,Front,04-May,Left wheel,White
2011,6.0,12,1018,CADILLAC,CTS,Sedan,Yes,Petrol,3,260128 km,Automatic,4x4,04-May,Left wheel,Black
2013,4.0,4,-,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,185000 km,Variator,Front,04-May,Right-hand drive,White
2016,4.0,12,810,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,92981 km,Automatic,Front,04-May,Left wheel,White
2011,6.0,12,1172,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,101816 km,Automatic,4x4,04-May,Left wheel,Black
2007,4.0,10,-,TOYOTA,Camry,Sedan,Yes,Hybrid,2.4,22000 km,Automatic,Front,04-May,Left wheel,Silver
2009,6.0,12,1624,MERCEDES-BENZ,ML 350,Jeep,Yes,Diesel,3.5,274088 km,Automatic,4x4,04-May,Left wheel,Black
2016,4.0,10,891,HYUNDAI,Elantra,Sedan,No,Petrol,2,70000 km,Automatic,Front,04-May,Left wheel,White
2013,4.0,12,779,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,124184 km,Automatic,Front,04-May,Left wheel,Silver
2013,4.0,4,640,HYUNDAI,Sonata,Sedan,Yes,Petrol,2,162000 km,Automatic,Front,04-May,Left wheel,Grey
2007,4.0,2,1408,FORD,Transit,Microbus,No,Diesel,2.2 Turbo,175000 km,Manual,Front,04-May,Left wheel,White
2010,4.0,0,761,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,162424 km,Automatic,Front,04-May,Left wheel,White
1998,4.0,2,-,MERCEDES-BENZ,200,Sedan,No,Petrol,1.8,0 km,Manual,Rear,04-May,Left wheel,Black
2013,4.0,6,751,TOYOTA,RAV 4,Jeep,No,Petrol,2.4,92800 km,Automatic,4x4,04-May,Left wheel,Brown
2009,4.0,6,702,OPEL,Astra,Hatchback,No,Petrol,1.4,140000 km,Manual,Front,04-May,Left wheel,Red
1984,4.0,10,-,VAZ,2121 (Niva),Jeep,No,Petrol,1.6,200000 km,Manual,4x4,04-May,Left wheel,White
2014,4.0,0,333,FORD,Fusion,Sedan,Yes,Hybrid,2,0 km,Automatic,Front,04-May,Left wheel,Silver
2012,4.0,4,642,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2,68359 km,Automatic,Front,04-May,Left wheel,Silver
1994,4.0,3,-,VOLKSWAGEN,Golf,Sedan,No,CNG,1.6,30000 km,Manual,Front,04-May,Left wheel,Purple
2006,4.0,4,-,NISSAN,Tiida,Hatchback,No,Petrol,1.5,0 km,Automatic,Front,04-May,Right-hand drive,Black
2016,4.0,8,650,CHEVROLET,Cruze PREMIER,Sedan,Yes,Petrol,1.4 Turbo,9470 km,Automatic,Front,04-May,Left wheel,Silver
2012,4.0,12,586,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.8,181550 km,Automatic,Front,04-May,Left wheel,Blue
2016,4.0,4,1091,HYUNDAI,H1,Universal,Yes,Diesel,2.5,110846 km,Automatic,Front,04-May,Left wheel,Grey
2013,4.0,8,585,LEXUS,CT 200h,Hatchback,Yes,Hybrid,1.8,129000 km,Automatic,Front,04-May,Left wheel,White
2012,4.0,5,586,TOYOTA,Prius,Sedan,No,Hybrid,1.8,127324 km,Automatic,Front,04-May,Left wheel,Black
2017,4.0,0,1017,MERCEDES-BENZ,GLA 250,Jeep,Yes,Petrol,2,44995 km,Automatic,4x4,04-May,Left wheel,Black
1999,4.0,6,-,AUDI,A4,Sedan,Yes,Petrol,1.9,193243 km,Manual,Front,04-May,Left wheel,Silver
2011,6.0,12,1172,LEXUS,RX 350,Jeep,Yes,Petrol,3.5,270320 km,Automatic,4x4,04-May,Left wheel,White
2009,4.0,0,-,AUDI,A4,Sedan,Yes,Petrol,2,240000 km,Tiptronic,4x4,04-May,Left wheel,Silver
2010,4.0,0,574,HONDA,Insight,Hatchback,Yes,Hybrid,1.3,189571 km,Automatic,Front,04-May,Left wheel,Silver
2010,4.0,6,761,TOYOTA,Prius,Hatchback,No,Petrol,1.8,19500 km,Variator,Front,04-May,Left wheel,Blue
2009,4.0,12,966,HYUNDAI,Elantra,Sedan,Yes,Petrol,2,268227 km,Automatic,Front,04-May,Left wheel,Black
2012,5.0,10,781,VOLKSWAGEN,Passat,Sedan,Yes,Petrol,2.5,154000 km,Tiptronic,Front,04-May,Left wheel,Silver
2002,6.0,4,-,NISSAN,X-Terra,Jeep,No,Petrol,3.3,94000 km,Manual,4x4,04-May,Left wheel,Silver
2011,4.0,4,707,SSANGYONG,Korando,Jeep,Yes,Diesel,2,201494 km,Automatic,Front,04-May,Left wheel,Silver
2010,4.0,12,761,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,150000 km,Automatic,Front,04-May,Left wheel,Black
2000,8.0,2,-,LINCOLN,Town Car,Limousine,Yes,Petrol,4.6,100000 km,Automatic,Rear,04-May,Left wheel,White
2015,4.0,12,765,NISSAN,100 NX,Sedan,Yes,Petrol,2,70395 km,Automatic,Front,04-May,Left wheel,White
2005,4.0,4,-,NISSAN,Note,Hatchback,No,Petrol,1.5,156000 km,Automatic,Front,04-May,Right-hand drive,Green
2015,6.0,10,1273,LEXUS,RX 350,Jeep,Yes,Petrol,3.5,37000 km,Tiptronic,Front,04-May,Left wheel,Black
2015,4.0,12,900,KIA,Optima,Sedan,Yes,Petrol,2.4,135410 km,Automatic,Front,04-May,Left wheel,Black
2009,4.0,8,966,SUZUKI,SX4,Jeep,No,Petrol,2,107000 km,Automatic,4x4,04-May,Left wheel,Grey
2017,6.0,0,1481,AUDI,Q7,Sedan,Yes,Petrol,3,44642 km,Automatic,4x4,04-May,Left wheel,Black
2014,4.0,4,749,JEEP,Compass,Jeep,Yes,Petrol,2.4,79197 km,Automatic,Front,04-May,Left wheel,Black
2014,4.0,0,333,FORD,Fusion,Sedan,Yes,Hybrid,2,186048 km,Automatic,Front,04-May,Left wheel,Black
2015,4.0,4,765,CHEVROLET,Captiva,Jeep,Yes,Diesel,2,123097 km,Automatic,Front,04-May,Left wheel,Grey
2008,4.0,5,-,TOYOTA,Prius,Hatchback,No,Hybrid,1.5,183000 km,Automatic,Front,04-May,Left wheel,White
2012,4.0,12,781,SUBARU,Forester,Jeep,No,Petrol,2.5,138000 km,Automatic,4x4,04-May,Left wheel,White
2007,4.0,2,-,MITSUBISHI,Pajero IO,Jeep,No,Petrol,2,180000 km,Automatic,4x4,04-May,Left wheel,Red
2009,6.0,12,1624,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,109139 km,Automatic,Rear,04-May,Left wheel,Black
2013,4.0,8,1267,HONDA,FIT,Hatchback,No,Hybrid,1.5,109000 km,Automatic,Front,04-May,Right-hand drive,Blue
2006,4.0,2,-,HONDA,FIT,Hatchback,No,Petrol,1.5,150000 km,Manual,Front,04-May,Right-hand drive,Silver
2011,4.0,4,583,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,75586 km,Automatic,Front,04-May,Left wheel,Silver
2010,4.0,4,687,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,100403 km,Automatic,Front,04-May,Left wheel,White
2012,4.0,8,586,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,110000 km,Automatic,Front,04-May,Left wheel,Black
2011,4.0,8,831,TOYOTA,Camry,Sedan,No,Petrol,2.4,110000 km,Tiptronic,Rear,04-May,Left wheel,Silver
2016,4.0,4,891,HYUNDAI,Sonata,Sedan,Yes,LPG,2,689476 km,Automatic,Front,04-May,Left wheel,Orange
2011,4.0,4,-,CHEVROLET,Cruze,Sedan,No,Petrol,1.8,108000 km,Tiptronic,Front,04-May,Left wheel,White
2008,4.0,8,-,TOYOTA,Prius,Sedan,No,Hybrid,1.5,211200 km,Automatic,Front,04-May,Left wheel,White
2014,4.0,12,394,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,398069 km,Automatic,Front,04-May,Left wheel,Black
2005,4.0,4,-,BMW,318,Coupe,Yes,Petrol,1.8,55000 km,Manual,Rear,04-May,Left wheel,Red
1999,4.0,2,-,OPEL,Astra,Goods wagon,No,Petrol,1.6,258000 km,Manual,Front,04-May,Left wheel,Blue
2011,4.0,4,583,DAEWOO,Lacetti,Sedan,Yes,Petrol,1.6,160622 km,Automatic,Front,04-May,Left wheel,White
2017,6.0,12,1481,JAGUAR,Daimler,Jeep,Yes,Petrol,3,81270 km,Automatic,4x4,04-May,Left wheel,White
2012,4.0,12,781,TOYOTA,Camry,Jeep,Yes,Hybrid,2.5,268683 km,Automatic,Front,04-May,Left wheel,Blue
2013,4.0,4,530,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,117500 km,Automatic,Front,04-May,Left wheel,Grey
2016,4.0,6,-,KIA,RIO,Hatchback,No,Petrol,1.4,91000 km,Manual,Front,04-May,Left wheel,Silver
2013,4.0,6,-,SKODA,Octavia,Sedan,No,Petrol,1.8 Turbo,200000 km,Manual,Front,04-May,Left wheel,White
2013,4.0,6,751,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,130000 km,Tiptronic,Front,04-May,Left wheel,Grey
2002,4.0,4,-,BMW,320,Hatchback,No,Petrol,2,0 km,Manual,Rear,02-Mar,Left wheel,Grey
2012,6.0,12,1058,TOYOTA,Highlander,Jeep,Yes,Hybrid,3.5,0 km,Automatic,4x4,04-May,Left wheel,Grey
2002,6.0,8,-,BMW,525,Sedan,Yes,LPG,2.5,166818 km,Tiptronic,Rear,04-May,Left wheel,Pink
2010,4.0,4,1024,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,58788 km,Automatic,Front,04-May,Left wheel,Black
2013,4.0,12,779,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,232032 km,Automatic,Front,04-May,Left wheel,Silver
2012,4.0,4,642,HYUNDAI,Tucson,Jeep,Yes,Diesel,2,120950 km,Automatic,Front,04-May,Left wheel,Silver
2014,4.0,4,777,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,85933 km,Automatic,Front,04-May,Left wheel,Silver
2014,4.0,6,-,VOLKSWAGEN,Jetta,Sedan,Yes,Petrol,1.8 Turbo,112000 km,Manual,Front,04-May,Left wheel,Black
2017,4.0,4,1017,HYUNDAI,Sonata,Sedan,Yes,LPG,2,238025 km,Automatic,Front,04-May,Left wheel,White
2013,6.0,12,-,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,85000 km,Tiptronic,4x4,04-May,Left wheel,White
2015,4.0,4,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2,571115 km,Automatic,Front,04-May,Left wheel,Orange
2016,4.0,4,764,KIA,Optima,Sedan,Yes,Diesel,1.7,30574 km,Automatic,Front,04-May,Left wheel,White
1985,4.0,0,-,MERCEDES-BENZ,190,Sedan,No,CNG,2,284000 km,Manual,Rear,04-May,Left wheel,Red
2008,6.0,12,1598,MERCEDES-BENZ,ML 350,Jeep,Yes,Diesel,3,213998 km,Automatic,4x4,04-May,Left wheel,Silver
2016,4.0,4,891,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2,121639 km,Automatic,Front,04-May,Left wheel,Silver
2008,4.0,4,-,HONDA,FIT,Hatchback,No,Petrol,1.5,145000 km,Tiptronic,Front,04-May,Right-hand drive,Blue
2017,4.0,4,831,SSANGYONG,Actyon,Jeep,Yes,Diesel,1.6,72924 km,Automatic,Front,04-May,Left wheel,Blue
2006,6.0,8,-,HYUNDAI,Tucson,Jeep,Yes,Petrol,2.7,160000 km,Tiptronic,4x4,04-May,Left wheel,Black
2012,4.0,4,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,115471 km,Automatic,Front,04-May,Left wheel,Grey
2003,6.0,6,-,NISSAN,Teana,Sedan,No,Petrol,2.3,201000 km,Automatic,Front,04-May,Right-hand drive,White
2002,4.0,2,-,FORD,Transit,Goods wagon,No,Diesel,2.0 Turbo,135000 km,Manual,Front,04-May,Left wheel,White
1998,4.0,4,-,OPEL,Astra,Universal,No,Petrol,1.6,100000 km,Manual,Front,04-May,Left wheel,Grey
2014,4.0,8,-,TOYOTA,Camry XLE,Sedan,No,Hybrid,2.5,145000 km,Automatic,Front,04-May,Left wheel,Black
2008,6.0,12,1750,TOYOTA,Highlander,Sedan,Yes,Hybrid,3.3,287274 km,Automatic,4x4,04-May,Left wheel,White
2008,4.0,0,-,FORD,Transit,Microbus,No,Diesel,2.4 Turbo,137500 km,Manual,Rear,04-May,Left wheel,White
2007,4.0,4,1586,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.5,68855 km,Automatic,Front,04-May,Left wheel,Black
2016,4.0,4,891,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2,135264 km,Automatic,Front,04-May,Left wheel,Black
2007,6.0,12,-,MERCEDES-BENZ,E 350 w211,Sedan,Yes,Petrol,3.5 Turbo,151000 km,Automatic,Rear,04-May,Left wheel,Black
2009,6.0,12,-,BMW,X6 M,Sedan,Yes,Petrol,3.0 Turbo,170000 km,Tiptronic,4x4,04-May,Left wheel,Black
2018,4.0,4,1079,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2,17245 km,Automatic,Front,04-May,Left wheel,White
1998,4.0,4,-,VOLKSWAGEN,Golf 4,Hatchback,No,Petrol,1.8,30000 km,Automatic,Front,04-May,Right-hand drive,Red
2005,3.0,4,-,NISSAN,Note,Sedan,No,Petrol,1.5,16302 km,Automatic,Front,04-May,Right-hand drive,White
2018,4.0,12,1327,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,22000 km,Tiptronic,Front,04-May,Left wheel,Black
2000,6.0,6,-,BMW,528,Sedan,Yes,LPG,2.8 Turbo,0 km,Tiptronic,Rear,04-May,Left wheel,Black
2009,4.0,12,746,TOYOTA,Prius 1.5I,Sedan,Yes,Hybrid,1.5,127300 km,Automatic,Front,04-May,Left wheel,Silver
2017,8.0,12,2225,LEXUS,GX 460,Jeep,Yes,Petrol,4.6,69918 km,Automatic,4x4,04-May,Left wheel,White
2000,4.0,2,-,FIAT,Cinquecento,Hatchback,No,Petrol,1.1,170000 km,Manual,Front,02-Mar,Left wheel,Black
2011,6.0,12,1172,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,132630 km,Automatic,Rear,04-May,Left wheel,Silver
2010,6.0,12,1586,NISSAN,Pathfinder,Jeep,Yes,Petrol,4,203466 km,Automatic,Front,04-May,Left wheel,Black
2014,4.0,4,639,SSANGYONG,Korando,Jeep,Yes,Diesel,2,42202 km,Automatic,Front,04-May,Left wheel,Grey
2018,4.0,4,1079,HYUNDAI,Sonata,Sedan,Yes,Petrol,2,34704 km,Automatic,Front,04-May,Left wheel,Grey
2008,4.0,12,843,TOYOTA,Prius,Sedan,No,Hybrid,1.5,178000 km,Automatic,Front,04-May,Left wheel,Silver
2003,4.0,6,-,TOYOTA,Ist,Sedan,No,Petrol,1.3,157000 km,Automatic,Front,04-May,Right-hand drive,Black
2016,8.0,12,2297,MERCEDES-BENZ,G 63 AMG,Jeep,Yes,Petrol,5.5,39325 km,Automatic,4x4,04-May,Left wheel,Black
2017,4.0,6,-,FORD,Fiesta,Sedan,No,Petrol,1.6,41000 km,Automatic,Front,04-May,Left wheel,White
2004,6.0,8,-,MERCEDES-BENZ,E 320,Sedan,Yes,Petrol,3.2,214000 km,Tiptronic,Rear,04-May,Left wheel,Grey
2011,6.0,12,1234,MAZDA,CX-9,Sedan,Yes,Petrol,3.7,134157 km,Automatic,4x4,04-May,Left wheel,Black
2018,4.0,12,1327,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,44845 km,Automatic,Front,04-May,Left wheel,Brown
2012,4.0,8,531,NISSAN,Juke,Jeep,No,Petrol,1.6 Turbo,76053 km,Tiptronic,Front,04-May,Left wheel,Silver
2001,4.0,2,-,TOYOTA,Altezza,Sedan,No,Petrol,2,160000 km,Tiptronic,Rear,04-May,Right-hand drive,Blue
2012,8.0,12,1363,MERCEDES-BENZ,ML 350,Jeep,Yes,Diesel,4.6,180659 km,Automatic,4x4,04-May,Left wheel,Black
2012,4.0,9,-,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,120000 km,Automatic,Front,04-May,Right-hand drive,White
2010,4.0,12,1024,FORD,Fusion,Sedan,Yes,Hybrid,2.5,46837 km,Automatic,Front,04-May,Left wheel,Silver
